,title,data
0,#Ranger Magazine - Community of Literary Magazines and Presses," Website https://www.rangermagazine.net/ Type Of Publisher Magazine, Press Genres Published Poetry, Audio, Experimental, Visual Art Year Established 2023 Address Arlington, VA Name David Bishop Mission Statement / Editorial Focus #Ranger Magazine publishes experimental poetry and art no mainstream outfit will touch, and give voice to the weird, wacky and self-indulgent. At #Ranger, we are happily immune to the demoralizing exigencies of “market forces” and “the money culture."" Accepts Unsolicited Submissions No"
1,11:11 Press - Community of Literary Magazines and Presses," Website https://1111press.com/ Type Of Publisher Press Genres Published Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Experimental Year Established 2018 Address Dundas, MN Name Hanna Guido Title Associate editor Email [email protected] Mission Statement / Editorial Focus 11:11 Press is an American independent literary publisher based in Minneapolis, MN. Founded in 2018, 11:11 publishes innovative literature of all forms and varieties. We believe in the freedom of artistic expression, the realization of creative potential, and the transcendental power of stories.  As a publisher, we share the artist's vision with the world. When an author lives according to their true self, their art encourages others to do the same. That’s why we take creative work so seriously, because art and literature has the power to change lives.  Our philosophy is simple. As the publisher, we are the invisible hand, and the written word is the invisible school. You, the artist, are the teachers of your truth. In this way, we lean on one another to spread a culture of curiosity and creativity with those ready to take a leap of faith. Accepts Unsolicited Submissions No"
2,1913 Press - Community of Literary Magazines and Presses," Website http://www.1913press.org Type Of Publisher Press Genres Published Audio, Essays, Fiction, Poetry, Reviews, Translation, Visual Art Year Established 2003 Address San Marcos, CA Name Sandra Doller Title Editrice Mission Statement / Editorial Focus Founded in 2003 by l’editrice Sandra Doller, 1913 a journal of forms & 1913 Press are committed to publishing the baddest in poetry, poetics, prose, & their intersections with the arts of all forms, in handsome book-as-art-object fashion."
3,42 Miles Press - Community of Literary Magazines and Presses," Website https://42milespress.com/ Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Essays Year Established 2010 Address South Bend, Indiana Name David Dodd Lee Title Editor-in-Chief Email [email protected] Mission Statement / Editorial Focus 42 Miles Press publishes books and of poetry, including the winner of the 42 Miles Press Poetry Prize. We’re in Indiana. We like images, we like language. We like it real and surreal and unreal.  The annual reading period for the 42 Miles Press Poetry Prize Contest is February 1st through June 15."
4,9th House Press - Community of Literary Magazines and Presses," Website https://www.9thhousepress.com/ Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Environment Nature, Essays, Feminist, Sci Fi Fantasy Speculative Year Established 2025 Address Summerland, BC Name Carmen Spagnola Title Director of Production Email [email protected] Mission Statement / Editorial Focus Women-led, multi-racial, queer worker co-op publishing world-building books. Accepts Unsolicited Submissions Yes Submission Guidelines URL https://www.9thhousepress.com/submissions Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties Contests no Instagram https://www.instagram.com/9thhousepress/ Distributors Self-distributed at the moment, with fulfilment via Hemlock Connect"
5,9vt5 - Community of Literary Magazines and Presses," Website https://www.9vtbackslash5.com/ Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Visual Art Year Established 2020 Address Los Angeles, CA Name Jack Title Editor Email [email protected] Mission Statement / Editorial Focus 9VT5 is an independent publishing house for artists and writers.
We like to put novel stories and ideas into the world with a focus on limited-run editions.
Our interests lie across an array of disciplines, from the work of visual artists to the publication of academic theses. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no"
6,Abalone Mountain Press - Community of Literary Magazines and Presses," Website https://www.abalonemountainpress.com/ Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid Year Established 2021 Address Phoenix, AZ Name Amber McCrary Title Owner and founder Mission Statement / Editorial Focus To create a space for Indigenous voices to be heard without having to accommodate the white gaze. We strive to create books for Native people by Native people. We hope to create a press that supports Native artistry in all forms. We hope to bring quality work to Indigenous literature and create a world for Indigenous voices to thrive as genuinely and true to form. We encourage works such as poetry, fiction, non-fiction and hybrid works.  We are an indigiqueer, trans, non-binary, Black Indigenous, Indigenous feminist friendly press. We do not accept any forms of lateral violence, Homophobia, racism or sexism in our work or in submissions. Accepts Unsolicited Submissions No"
7,Able Muse - Community of Literary Magazines and Presses," Website https://www.ablemuse.com Type Of Publisher Magazine, Online, Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Experimental, Humor, Interviews, Mystery Crime, Reviews, Translation, Visual Art Year Established 1999 Address San Jose, California Name Alexander S Pepple Title Editor & Publisher Email [email protected] Mission Statement / Editorial Focus Able Muse is an independent literary journal (founded in 1999) devoted to publishing masterfully crafted writing and fostering a serious community of readers and writers. We feature poetry—with a special emphasis on metrical and formal verse in a contemporary idiom and exceptional free verse—alongside translation, fiction, creative nonfiction, essays, interviews, reviews, and visual art. Our editorial focus is on work that marries technical skill with imaginative force: language that is precise and memorable, musicality without mannerism, and forms—traditional or innovative—used with purpose and freshness.  Able Muse’s mission extends beyond the journal through a family of related presses and platforms: Able Muse Press (https://www.ablemusepress.com
), Word Galaxy Press (https://www.wordgalaxy.com
), and Many Words Press (https://www.manywords.com
), which publish poetry, fiction, and anthologies by emerging and established writers. We also host Eratosphere (https://www.ablemuse.com/erato
), our long-running online literary workshop and discussion forum dedicated to craft, revision, and literary conversation. Together, these efforts support a culture of attentive reading, rigorous standards, and enduring literary exchange. Accepts Unsolicited Submissions Yes Submission Guidelines URL https://www.ablemuse.com/submit Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Formats paperback, hardcover, ebook, audio, video, print, digital Contests no Facebook https://www.facebook.com/groups/22503883607 Twitter https://x.com/ablemuse Instagram https://www.instagram.com/ablemusepress/ Average Unique Visitors Per Month 8,000 How Frequently Is Content Updated? Quarterly Number Of Issues Per Year 1 Price Per Issue $23.95 Subscription Price $19.00 Total Subscribers 250 Total Circulation 500 Number Of Books Published Per Year 8 Distributors Ingram"
8,Acre Books - Community of Literary Magazines and Presses," Website http://www.acre-books.com Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Environment Nature, Essays, Experimental, Flash Fiction, Graphic Novels Comics, Horror Thriller Suspense, Humor, Sci Fi Fantasy Speculative Year Established 2016 Address Cincinnati, OH Name Nicola Mason Title Editor Email [email protected] Mission Statement / Editorial Focus Founded in 2016 by Nicola Mason, whose intent was to build upon the excellence of The Cincinnati Review, Acre publishes surprising, imaginative, and absorbing books of poetry, fiction, literary nonfiction, and hybrid forms that are expertly crafted and reflect a multiplicity of perspectives and styles. A large part of our mission is to bring to the reading public exciting work by debut authors.  Through its university affiliation, Acre provides opportunities for undergraduates and graduate students in UC’s English PhD program to learn about the book publishing industry. Under the mentorship of our two main editors, Nicola Mason and Lisa Ampleman, student staffers gain hands-on experience in manuscript selection and acquisition, editing and production, and book distribution, marketing, and sales.  Collaborating closely with authors, Acre annually publishes six to seven titles that are supported by the marketing and sales teams at the University of Chicago Press and distributed across the globe by the Chicago Distribution Center. We nominate our titles for major post-publication awards and assist our authors with readings and events, sustaining relationships with our writer family long after their books launch.  Our titles are often reviewed in Publishers Weekly, Booklist, Foreword, Kirkus, and Library Journal, and have garnered attention in the New York Times, Boston Globe, Los Angeles Review of Books, San Francisco Chronicle, Times Literary Supplement, Shelf Awareness, LitHub, The Millions, Book Riot, National Book Review, New Criterion, and numerous other publications and podcasts.  Acre’s accolades include finalist honors from the PEN/Hemingway Award, the Lambda Literary Awards, the Janet Heidinger Kafka Prize, the Shirley Jackson Awards, the Housatonic Book Awards, the Maine Book Award, the Balcones Prize, the Julie Suk Award, the Philip A. McMath Award, and the Theodore Roethke Memorial Poetry Prize, longlist honors from the PEN/Bingham Prize for Debut Short Story Collection, and silver and gold medals from the Foreword INDIES and Independent Publisher Book Awards (IPPYs)."
9,Action Books - Community of Literary Magazines and Presses," Website http://actionbooks.org Type Of Publisher Press Genres Published Poetry Year Established 2005 Address Notre Dame, IN Name Kate Hedeen Title Managing Editor Email [email protected] Mission Statement / Editorial Focus Since 2005, Action Books has voltified US publishing, assembling a truly international array of writers and translators with a diverse yet interlocking set of political and aesthetic urgencies. Aase Berg, Kim Hyesoon, Don Mee Choi, Anaïs Duplan, Raúl Zurita, Daniel Borztuzky, Hiromi Itō, Gayath Almadhoun, Jeffrey Angles, Farid Tali, Aditi Machado, and Christian Hawkey are just some of the poets and translators Action Books has celebrated and centered. To see our full catalog and learn more about us, visit: www.actionbooks.org Accepts Unsolicited Submissions No"
