Publisher,Latitude,Longitude,Formatted address,Website,Type of Publisher,Genres Published,Year Established,Distributor
#Ranger Magazine,38.8816208,-77.0909809,"Arlington County, Arlington, VA, USA",https://www.rangermagazine.net/,"Magazine, Press","Poetry, Audio, Experimental, Visual Art",2023-01-01,
11:11 Press,44.4294089,-93.2018826,"Dundas, MN, USA",https://1111press.com/,Press,"Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Experimental",2018-01-01,
1913 Press,33.1433723,-117.1661449,"San Marcos, CA, USA",http://www.1913press.org,Press,"Audio, Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2003-01-01,Amazon and other
42 Miles Press,41.6763545,-86.2519898,"South Bend, IN, USA",https://42milespress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Essays",2010-01-01,Publisher website
9th House Press,49.603236,-119.6834179,"Summerland, BC V0H, Canada",https://www.9thhousepress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Environment Nature, Essays, Feminist, Sci Fi Fantasy Speculative",2025-01-01,Publisher website
9vt5,34.0549076,-118.242643,"Los Angeles, CA, USA",https://www.9vtbackslash5.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Visual Art",2020-01-01,
Abalone Mountain Press,33.4482948,-112.0725488,"Phoenix, AZ, USA",https://www.abalonemountainpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid",2021-01-01,
Able Muse,37.33874,-121.8852525,"San Jose, CA, USA",https://www.ablemuse.com,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Experimental, Humor, Interviews, Mystery Crime, Reviews, Translation, Visual Art",1999-01-01,Ingram
Acre Books,39.1031182,-84.5120196,"Cincinnati, OH, USA",http://www.acre-books.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Environment Nature, Essays, Experimental, Flash Fiction, Graphic Novels Comics, Horror Thriller Suspense, Humor, Sci Fi Fantasy Speculative",2016-01-01,
Action Books,41.7001908,-86.2379328,"Notre Dame, IN 46556, USA",http://actionbooks.org,Press,Poetry,2005-01-01,Asterism Books and publisher website
Agave Press,45.515232,-122.6783853,"Portland, OR, USA",http://www.agavepress.com,Press,"Essays, Fiction, Poetry, Visual Art",2013-01-01,
"AIM Higher, Inc.",41.9973144,-74.104864,"West Hurley, NY, USA",http://www.aimhigher.org,Press,"Poetry, Cross Genre Hybrid, Translation, Visual Art",2020-01-01,
Alice James Books,43.962853,-70.2825536,"New Gloucester, ME, USA",http://www.alicejamesbooks.org,Press,Poetry,1973-01-01,
Alternative Field,34.0549076,-118.242643,"Los Angeles, CA, USA",http://www.alternativefield.com,Chapbook,"Essays, Graphic Novels Comics, Poetry, Translation",2016-01-01,
Amplicon Press,51.5072178,-0.1275862,"London, UK",https://ampliconpress.com,"Magazine, Press","Essays, Poetry",2023-01-01,
Antiphony: a journal & press,37.5778696,-122.34809,"Burlingame, CA, USA",http://www.antiphonyajournalandpress.com,"Magazine, Press","Poetry, Experimental, Interviews, Translation",2024-01-01,
April Gloaming Publishing,36.1626638,-86.7816016,"Nashville, TN, USA",https://www.aprilgloaming.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Essays, Experimental, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Regional, Sci Fi Fantasy Speculative, Translation, Visual Art",2015-01-01,Ingram
Aquarius Press/Willow Books,42.3962815,-83.2452478,"Detroit, MI 48223, USA",http://www.WillowLit.net,Press,"Fiction, Poetry, Visual Art",1999-01-01,Itasca Books and publisher website
Arcana Poetry Press,41.5612048,-74.1884806,"Walden, NY 12586, USA",https://arcanapoetrypress.com,Press,Poetry,2025-01-01,Ingram
Archway Editions,40.6781784,-73.9441579,"Brooklyn, NY, USA",https://www.archwayeditions.us,Press,"Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2019-01-01,
Assure Press,32.5884689,-96.9561152,"Cedar Hill, TX, USA",http://assurepress.org,Press,"Fiction, Poetry, Audio, Essays, Reviews, Translation, Visual Art",2017-01-01,
Autumn Art,30.3397809,76.3868797,"Patiala, Punjab, India",https://autumnartbooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays, Feminist, Interviews, Political, Regional, Religious, Translation",2016-01-01,
Autumn House Press,40.4386612,-79.9972352,"Pittsburgh, PA, USA",http://www.autumnhouse.org,Press,"Fiction, Poetry, Essays, Visual Art",1998-01-01,
Ballerini Book Press,47.0341978,8.2772552,"Kriens, Switzerland",https://ballerinibookpress.ch,"Magazine, Press","Fiction, Poetry, Audio, Autobiography Memoir, Criticism Reviews, Essays, Reviews, Translation, Visual Art",2020-01-01,
Bamboo Ridge Press,21.3098845,-157.8581401,"Honolulu, HI, USA",http://www.bambooridge.org,Press,"Fiction, Poetry, Audio, Essays, Visual Art",1978-01-01,Itasca Books and publisher website
Banana Slug Books,47.6579711,-117.4235319,"Spokane, WA, USA",https://www.bananaslugbooks.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Feminist",2024-01-01,
Baobab Press,39.529919,-119.8142691,"Reno, NV, USA",http://baobabpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Essays, Graphic Novels Comics",1998-01-01,
Behemoth Magazine,36.9613356,-120.0607176,"Madera, CA, USA",https://www.behemothmagazine.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Environment Nature, Flash Fiction, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Sci Fi Fantasy Speculative, Visual Art, Young Adult",2024-01-01,
Belladonna* Collaborative,40.6781784,-73.9441579,"Brooklyn, NY, USA",http://www.belladonnaseries.org,Press,"Poetry, Translation",1999-01-01,Asterism Books and publisher website
Belle Point Press,35.3843722,-94.4209646,"Fort Smith, AR, USA",https://bellepointpress.com/,Press,"Fiction, Poetry, Essays, Visual Art",2021-01-01,
Bending Genres,43.1741758,-87.9242537,"River Hills, WI 53217, USA",https://www.bendinggenres.com,"Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Experimental, Reviews",2018-01-01,Other
Best New Poets,38.0301826,-78.4769353,"Charlottesville, VA, USA",https://www.bestnewpoets.org/,Press,Poetry,2005-01-01,
Big Wonderful Press,41.7475933,-74.0868095,"New Paltz, NY 12561, USA",https://www.bigwonderfulpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Feminist, Humor, Sci Fi Fantasy Speculative, Young Adult",2012-01-01,
Big Yes Press,35.1185868,-120.5907252,"Arroyo Grande, CA 93420, USA",http://www.bigyespress.com,Press,"Fiction, Poetry",2012-01-01,
Bilingual Press | Editorial Bilingüe (BP | EB),33.4255104,-111.9400054,"Tempe, AZ, USA",https://bilingualpress.submittable.com/submit,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Experimental, Feminist, Graphic Novels Comics, Political, Regional, Reviews, Translation, Visual Art, Young Adult",1973-01-01,Publisher website
BkMk Press,39.1950029,-94.6821806,"Parkville, MO, USA",http://www.bkmkpress.org,Press,"Fiction, Poetry, Essays",1971-01-01,
Black Mountain Press,35.6178951,-82.3212302,"Black Mountain, NC 28711, USA",http://www.theblackmountainpress.com,"Magazine, Press","Fiction, Poetry, Essays, Graphic Novels Comics, Reviews, Translation, Visual Art",1994-01-01,
Black Square Editions/Off the Park Press Inc.,40.7127753,-74.0059728,"New York, NY, USA",http://blacksquareeditions.org,Press,"Fiction, Poetry, Essays, Translation, Visual Art",1999-01-01,Asterism Books and publisher website
Black Sunflowers Poetry Press,50.71505,-1.987248,"Poole, UK",http://blacksunflowerspoetry.com/,Chapbook,Poetry,2020-01-01,
BLF Press,39.169574,-86.5385549,"Bloomington, IN, USA",http://blfpress.com,Press,"Essays, Fiction, Poetry, Visual Art",2014-01-01,
Blue Cactus Press,47.2551307,-122.4419643,"Tacoma, WA, USA",http://www.bluecactuspress.com,Press,"Essays, Fiction, Poetry, Visual Art",2017-01-01,
BOA Editions,43.1565779,-77.6088465,"Rochester, NY, USA",http://www.boaeditions.org,Press,"Fiction, Poetry, Translation",1976-01-01,
Book*hug Press,43.6548253,-79.388447,"Toronto, ON, Canada",https://bookhugpress.ca/,Press,"Audio, Essays, Fiction, Poetry, Translation, Visual Art",2004-01-01,
Bordighera Press,40.7127753,-74.0059728,"New York, NY, USA",https://bordigherapress.org/,Press,"Essays, Fiction, Graphic Novels Comics, Poetry, Reviews, Translation, Visual Art",1989-01-01,Asterism Books and Ingram
Bottom Dog Press,41.1266687,-82.6483442,"Huron County, OH, USA",http://smithdocs.net,Press,"Fiction, Poetry, Visual Art",1985-01-01,
bramble press,36.0948221,-80.2434028,"Winston-Salem, NC, USA",https://brambleonline.com/,"Magazine, Press",Poetry,2025-01-01,
Brattle Street Publishing,29.5957696,-90.7195348,"Houma, LA, USA",https://brattlestreetreview.com/,"Online, Press","Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays, Horror Thriller Suspense, Humor, Mystery Crime, Political, Sci Fi Fantasy Speculative",2024-01-01,Amazon
Brick Cave Media,33.4151843,-111.8314724,"Mesa, AZ, USA",https://brickcave.media,Press,"Audio, Fiction, Poetry, Visual Art",2006-01-01,
Brickhouse Books,39.4354087,-76.6123884,"Timonium, MD, USA",https://brickhousebooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Experimental, Feminist",1970-01-01,Publisher website
Bridian House,34.8674331,-92.1270445,"Jacksonville, AR, USA",https://www.bridianhouse.com,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Horror Thriller Suspense, Mystery Crime, Political, Sci Fi Fantasy Speculative, Young Adult",2025-01-01,
Broadside Lotus Press,42.3297182,-83.0424533,"Detroit, MI, USA",http://www.broadsidelotuspress.org/,Press,Poetry,1965-01-01,
Brooklyn Arts Press / Augury Books,40.7190459,-73.9570832,"154 N 9th St #1, Brooklyn, NY 11211, USA",https://brooklynartspress.com/,Press,"Fiction, Poetry, Visual Art",2007-01-01,Asterism Books and publisher website
Buckman Publishing LLC,45.515232,-122.6783853,"Portland, OR, USA",https://www.buckmanpublishing.com/,Press,"Essays, Fiction, Graphic Novels Comics, Poetry, Reviews, Visual Art",2018-01-01,
Burningword Literary Journal,30.2240897,-92.0198427,"Lafayette, LA, USA",https://burningword.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Visual Art",2000-01-01,
Button Poetry,45.0205565,-93.2179335,"St Anthony, MN, USA",https://www.buttonpoetry.com,Press,"Poetry, Visual Art",2011-01-01,
Calyx: A Journal of Art and Literature by Women,44.5646356,-123.2619607,"Corvallis, OR, USA",https://www.calyxpress.org/,"Magazine, Press","Fiction, Poetry, Criticism Reviews, Feminist, Interviews, Reviews, Visual Art",1976-01-01,
Carnegie Mellon University Press,40.4386612,-79.9972352,"Pittsburgh, PA, USA",https://www.cmu.edu/universitypress/,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays, Regional, Translation",1972-01-01,Other
Casa Carlini,40.7127753,-74.0059728,"New York, NY, USA",https://casacarlini.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Horror Thriller Suspense, Political, Sci Fi Fantasy Speculative, Young Adult",2023-01-01,
"CavanKerry Press, Ltd.",40.8521052,-73.9723174,"Fort Lee, NJ 07024, USA",http://cavankerrypress.org,Press,"Poetry, Visual Art",1999-01-01,
Cayena Press,40.7660427,-73.8758704,"East Elmhurst, Queens, NY, USA",http://cayenapress.org,Press,"Creative Nonfiction, Poetry",2019-01-01,
Changes,40.7127753,-74.0059728,"New York, NY, USA",http://www.changes.press,Press,Poetry,2021-01-01,Asterism Books
Charlotte Lit Press,35.2270768,-80.8408933,"Charlotte, NC, USA",https://www.charlottelit.org/press,Press,"Creative Nonfiction, Fiction, Poetry, Essays, Flash Fiction, Visual Art",2022-01-01,Ingram
Chax Press,32.2539787,-110.9741769,"Tucson, AZ, USA",https://chax.org,Press,"Essays, Fiction, Poetry, Visual Art",1984-01-01,
Chicory Press,41.70139,-71.155229,"Fall River, MA, USA",https://www.chicorypress.com/,Press,"Fiction, Poetry, Audio, Autobiography Memoir, Essays, Feminist, Horror Thriller Suspense, Mystery Crime, Regional, Sci Fi Fantasy Speculative",2023-01-01,
Circling Rivers,37.5374438,-77.5275463,"Richmond, VA 23225, USA",http://circlingrivers.com,Press,"Essays, Fiction, Poetry, Translation, Visual Art",2013-01-01,
Clare Songbirds Publishing House,42.9317335,-76.5660529,"Auburn, NY 13021, USA",https://www.claresongbirdspub.com/,Press,Poetry,2017-01-01,
